file_path,file_name,file_size,status
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (21).bin,pytorch_model (21).bin,5312753599,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (28).bin,pytorch_model (28).bin,1625270765,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (27).bin,pytorch_model (27).bin,797367631,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (7).bin,pytorch_model (7).bin,3055735323,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (29).bin,pytorch_model (29).bin,2444714899,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (19).bin,pytorch_model (19).bin,526017373,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (24).bin,pytorch_model (24).bin,N/A,File Not Found
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (14).bin,pytorch_model (14).bin,N/A,File Not Found
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (22).bin,pytorch_model (22).bin,N/A,File Not Found
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (18).bin,pytorch_model (18).bin,N/A,File Not Found
/content/drive/My Drive/AI_Models_Consolidated/tf_model.h5,tf_model.h5,N/A,File Not Found
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (23).bin,pytorch_model (23).bin,496313727,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (26).bin,pytorch_model (26).bin,1425744429,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model.bin,pytorch_model.bin,526017373,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (25).bin,pytorch_model (25).bin,1118531895,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (20).bin,pytorch_model (20).bin,496313727,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (17).bin,pytorch_model (17).bin,1118531895,Valid
/content/drive/My Drive/AI_Models_Consolidated/weight.bin,weight.bin,N/A,File Not Found
