file_path,file_name,file_size,location,status
/content/drive/My Drive/organized_ai_models/misc/model-00004-of-00005.safetensors,model-00004-of-00005.safetensors,4832532152,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/model-00005-of-00005.safetensors,model-00005-of-00005.safetensors,3758674256,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/model-00001-of-00007.safetensors,model-00001-of-00007.safetensors,4864035944,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/model-00002-of-00007.safetensors,model-00002-of-00007.safetensors,4832677080,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/model-00003-of-00007.safetensors,model-00003-of-00007.safetensors,4832702088,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/model-00004-of-00007.safetensors,model-00004-of-00007.safetensors,4832701832,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/model-00005-of-00007.safetensors,model-00005-of-00007.safetensors,4832677112,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/model-00006-of-00007.safetensors,model-00006-of-00007.safetensors,4832702120,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/model-00007-of-00007.safetensors,model-00007-of-00007.safetensors,1208132208,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/model-00006-of-00006.safetensors,model-00006-of-00006.safetensors,2148028568,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/model-00001-of-00005.safetensors,model-00001-of-00005.safetensors,4987114640,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/model-00002-of-00005.safetensors,model-00002-of-00005.safetensors,4966750048,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/model-00003-of-00005.safetensors,model-00003-of-00005.safetensors,4832532152,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/model-00001-of-00006.safetensors,model-00001-of-00006.safetensors,4378902528,Active,Unknown Format
